﻿표준코드,종목명,발행일,만기일,인포맥스대분류,전일민평,전전일민평,변동,듀레이션,축약
KR310103AG20,통안DC026-0526-0910,2026-02-24,2026-05-26,통안증권,2.541,,,,
KR310101AG30,통안DC026-0602-0910,2026-03-03,2026-06-02,통안증권,2.575,,,,
KR310102AG39,통안DC026-0609-0910,2026-03-10,2026-06-09,통안증권,2.585,,,,
KR310103AG38,통안DC026-0616-0910,2026-03-17,2026-06-16,통안증권,2.585,,,,
KR310104AG37,통안DC026-0623-0910,2026-03-24,2026-06-23,통안증권,2.575,,,,
KR310105AG36,통안DC026-0630-0910,2026-03-31,2026-06-30,통안증권,2.59,,,,
KR310101GE77,통안03200-2607-02,2024-07-02,2026-07-02,통안증권,2.665,,,,
KR310101AG48,통안DC026-0707-0910,2026-04-07,2026-07-07,통안증권,2.585,,,,
KR310102GF75,통안02280-2607-01,2025-07-09,2026-07-09,통안증권,2.667,,,,
KR310102AG47,통안DC026-0714-0910,2026-04-14,2026-07-14,통안증권,2.615,,,,
KR310103AG46,통안DC026-0721-0910,2026-04-21,2026-07-21,통안증권,2.75,,,,
KR310104AG45,통안DC026-0728-0910,2026-04-28,2026-07-28,통안증권,2.75,,,,
KR310101AG55,통안DC026-0803-0910,2026-05-04,2026-08-03,통안증권,2.744,,,,
KR310102AG54,통안DC026-0811-0910,2026-05-12,2026-08-11,통안증권,2.76,,,,
KR310103AG53,통안DC026-0818-0910,2026-05-19,2026-08-18,통안증권,2.779,,,,
KR310104AG52,통안DC026-0826-0910,2026-05-27,2026-08-26,통안증권,2.795,,,,
KR310101AG63,통안DC026-0901-0910,2026-06-02,2026-09-01,통안증권,3,3,0,0.0027,
KR310102GD93,통안04000-2609-03,2023-09-03,2026-09-03,통안증권,3,3,0,0.0081,
KR310102AG62,통안DC026-0908-0910,2026-06-09,2026-09-08,통안증권,3,3,0,0.0213,
KR310101GF92,통안02270-2609-01,2025-09-09,2026-09-09,통안증권,3,3,0,0.0243,
KR310103AG61,통안DC026-0915-0910,2026-06-16,2026-09-15,통안증권,3.002,3,0.199999999999978,0.0399,
KR310104AG60,통안DC026-0922-0910,2026-06-23,2026-09-22,통안증권,3.004,3,0.4,0.0585,
KR310105AG69,통안DC026-0929-0910,2026-06-30,2026-09-29,통안증권,3.004,3.001,0.300000000000011,0.0771,
KR310101GEA8,통안02800-2610-02,2024-10-02,2026-10-02,통안증권,3.01,3.003,0.699999999999967,0.0863,
KR310101AG71,통안DC026-1006-0910,2026-07-07,2026-10-06,통안증권,3.005,3.003,0.199999999999978,0.0958,
KR310102AG70,통안DC026-1013-0910,2026-07-14,2026-10-13,통안증권,3.006,3.003,0.299999999999967,0.1144,
KR310103AG79,통안DC026-1020-0910,2026-07-21,2026-10-20,통안증권,3.007,3.003,0.4,0.133,
KR310104AG78,통안DC026-1027-0910,2026-07-28,2026-10-27,통안증권,3.007,3.003,0.4,0.1516,
KR310101AG89,통안DC026-1103-0910,2026-08-04,2026-11-03,통안증권,3.008,3.003,0.499999999999989,0.1702,
KR310101GFB3,통안02540-2611-01,2025-11-09,2026-11-09,통안증권,3.01,3.003,0.699999999999967,0.1888,
KR310102AG88,통안DC026-1110-0910,2026-08-11,2026-11-10,통안증권,3.008,3.003,0.499999999999989,0.1888,
KR310103AG87,통안DC026-1117-0910,2026-08-18,2026-11-17,통안증권,3.009,3.003,0.599999999999978,0.2075,
KR310104AG86,통안DC026-1124-0910,2026-08-25,2026-11-24,통안증권,3.01,3.003,0.699999999999967,0.2261,
KR310101GF19,통안02700-2701-02,2025-01-02,2027-01-02,통안증권,3.016,3.01,0.600000000000023,0.3328,
KR310102GG17,통안02550-2701-01,2026-01-09,2027-01-09,통안증권,3.02,3.013,0.700000000000012,0.3517,
KR310102GE35,통안03430-2703-03,2024-03-03,2027-03-03,통안증권,3.02,3.013,0.700000000000012,0.498,
KR310101GG34,통안02700-2703-01,2026-03-09,2027-03-09,통안증권,3.062,3.059,0.299999999999967,0.5155,
KR310101GF43,통안02620-2704-02,2025-04-02,2027-04-02,통안증권,3.101,3.101,0,0.5776,
KR310101GG59,통안02900-2705-01,2026-05-09,2027-05-09,통안증권,3.043,3.043,0,0.6797,
KR310101GF76,통안02400-2707-02,2025-07-02,2027-07-02,통안증권,3.251,3.251,0,0.8213,
KR310102GG74,통안03370-2707-01,2026-07-09,2027-07-09,통안증권,3.395,3.395,0,0.8364,
KR310102GE92,통안02940-2709-03,2024-09-03,2027-09-03,통안증권,3.283,3.276,0.700000000000012,0.9819,
KR310101GFA5,통안02500-2710-02,2025-10-02,2027-10-02,통안증권,3.56,3.547,1.29999999999999,1.062,
KR310101GG18,통안02840-2801-02,2026-01-02,2028-01-02,통안증권,3.63,3.605,2.49999999999999,1.2988,구구통
KR310102GF34,통안02690-2803-03,2025-03-03,2028-03-03,통안증권,3.64,3.603,3.69999999999999,1.4598,구구삼통
KR310101GG42,통안03420-2804-02,2026-04-02,2028-04-02,통안증권,3.701,3.66,4.09999999999999,1.5288,구통
KR310101GG75,통안03730-2807-02,2026-07-02,2028-07-02,통안증권,3.715,3.665,4.99999999999998,1.7572,통당
KR310102GF91,통안02460-2809-03,2025-09-03,2028-09-03,통안증권,3.707,3.66,4.69999999999997,1.9351,구삼통
KR310102GG33,통안03340-2903-03,2026-03-03,2029-03-03,통안증권,3.796,3.752,4.4,2.3737,삼통
